,Tierras de cultivo[Kha],Tierras agrícolas[Kha],Tierras arables[Kha],Tierr. dedicadas a praderas y pastizales perman.[Kha],Tierras destinadas a cultivos permanentes[Kha],Tierras en barbecho[Kha],Tierras destinadas a cultivos temporales[Kha],Tierr. destinadas a praderas y pastizales tempor.[Kha],Praderas y pastizales permanentes naturales[Kha],Praderas y pastizales permanentes cultivados[Kha],Tierr. agrícolas bajo cubiertas protectoras[Kha],Chickens[Heads],Cattle[Heads],Goats[Heads],Sheep[Heads],Buffaloes[Heads],Pigs[Heads]
1998,1598179.7999999998,5281621.02,1459380.6,3683441.22,138799.2,8863.0,0.0,0.0,0.0,0.0,0.0,16262089000.0,1412693121.0,856121198.0,1172186444.0,183211316.0,1278714112.0
1999,1601388.2999999998,5284178.22,1459728.0000000002,3682789.9200000004,141660.3,8698.0,0.0,0.0,0.0,0.0,0.0,17065330000.0,1418446693.0,881908628.0,1189075550.0,184943049.0,1319562294.0
2000,1598015.12,5288636.0,1454431.5699999998,3690620.88,143583.55,9084.95,0.0,0.0,0.0,0.0,0.0,18014437000.0,1424549759.0,907252160.0,1197473408.0,186849897.0,1337635453.0
2001,1592676.3708000001,5281914.470799999,1446734.4300000002,3689238.0999999996,145941.78,113717.19999999998,190502.32,19155.21,463124.99999999994,143624.2,0.0,18723769000.0,1421927200.0,921302837.0,1174408785.0,189045179.0,1306011420.0
2002,1587329.65,5266591.07,1439858.08,3679261.42,147471.47,134021.72999999998,346964.52,48466.7,568089.9000000001,160455.3,0.0,20217806000.0,1428529928.0,929761863.0,1166830477.0,191434819.0,1319322995.0
2003,1588051.94,5246290.970000001,1437799.79,3658239.03,150252.15,143935.04900000003,398502.5850000001,49258.856,464821.1,155784.09999999998,0.0,20159307000.0,1439226399.0,948716079.0,1179128382.0,194243011.0,1323360325.0
2004,1595130.38,5210371.28,1441323.95,3615240.9,153806.43,132530.57,401949.97000000003,47341.46,472733.60000000003,188660.89999999997,0.0,20956780000.0,1452482572.0,975136004.0,1217176410.0,196301811.0,1313686726.0
2005,1600838.73,5220848.75,1444260.17,3620010.02,156578.56,132258.32,409327.04,46301.880000000005,454603.89999999997,191006.5,0.0,21668240000.0,1465399210.0,1003008349.0,1256595978.0,199371789.0,1332701959.0
2006,1591868.22,5214316.16,1432411.74,3622447.9400000004,159457.1313,118769.5,405984.23,44875.45999999999,464610.49999999994,193248.1,0.0,22044060000.0,1479334177.0,999049133.0,1260618235.0,203106269.0,1365627431.0
2007,1594217.43,5209112.02,1430834.13,3614894.5900000003,163383.30000000002,118194.2,411256.95,43159.77999999999,491530.9,202956.0,0.0,23012073000.0,1484981707.0,1018802186.0,1266893302.0,206789865.0,1345023015.0
2008,1595743.76,5199565.96,1430408.5899999999,3603822.2,165335.17,113878.85999999999,427827.64,43204.54,532953.3,309091.60000000003,0.0,24000053000.0,1498367017.0,1045958155.0,1249078169.0,209013157.0,1385392380.0
2009,1597507.08,5192754.54,1429396.69,3595247.46,168110.39,109485.23,420351.38000000006,41678.48,532177.95,308910.32,0.0,24942994000.0,1480589523.0,1062328562.0,1245239199.0,224246978.0,1446398759.0
2010,1600852.2799999998,5197340.94,1429281.6400000001,3596488.66,171570.64,111851.59999999999,498519.0800000001,40378.81,912919.5,329250.48999999993,0.0,25547358000.0,1480624021.0,1060346783.0,1244369448.0,223498447.0,1445905453.0
2011,1612221.48,5220308.09,1437617.36,3608086.6100000003,174604.12,108320.44,512821.27999999997,39321.27,914725.97,327467.51,0.0,24661269000.0,1481815740.0,1073540697.0,1264568995.0,223337483.0,1450940354.0
2012,1622262.11,5221104.22,1445300.0099999998,3598842.21,176962.1,110812.68000000001,500146.38000000006,37267.72,930492.09,329314.29,230.0,25406327000.0,1491532136.0,1091211681.0,1279543181.0,223825531.0,1470606226.0
2013,1625059.1067000001,5209851.6573,1446901.5224,3584792.3505,178157.5843,108597.12599999999,511357.36819999997,37471.7183,909137.8261,335816.56440000003,1026.0255,25788761000.0,1495100835.0,1106942193.0,1310762624.0,223737572.0,1464391776.0
2014,1626226.2585999998,5208838.1737,1447809.0926,3582609.3696,178417.2706,98812.7064,513339.7562,37811.79,826081.8824,189475.7473,1141.8608,25751446000.0,1502946514.0,1121307778.0,1305056796.0,225030802.0,1474566031.0
2015,1656098.6244,5213009.662500001,1476140.4108,3556908.2435000003,179958.2137,101188.8738,503654.2334000001,35835.0216,819353.4505,182284.913,1168.6252,26361801000.0,1512280741.0,1139499857.0,1341519496.0,226756601.0,1468638199.0
2016,1661242.1301000002,5210189.5089,1479970.6815,3548946.4825999998,181271.77860000002,101661.3416,504676.0429,35910.327,816955.3921,183299.7495,1119.9377,28138989000.0,1531938404.0,1166970031.0,1359349036.0,229783450.0,1448514609.0
2017,1666851.6330000001,5243182.1695,1484344.7855,3576329.6234999998,182506.3475,101753.3328,505244.3135000001,36231.74310000001,815168.2277,184707.45679999999,1181.7716,28514517000.0,1535274136.0,1166397756.0,1363464025.0,230770417.0,1418232595.0
2018,,,,,,,,,,,,29079694000.0,1553162432.0,1184298887.0,1373546174.0,233719311.0,1425507453.0
